Method;Job;AnalyzeLaunchVariance;EvaluateOverhead;MaxAbsoluteError;MaxRelativeError;MinInvokeCount;MinIterationTime;OutlierMode;Affinity;EnvironmentVariables;Jit;Platform;PowerPlanMode;Runtime;AllowVeryLargeObjects;Concurrent;CpuGroups;Force;HeapAffinitizeMask;HeapCount;NoAffinitize;RetainVm;Server;Arguments;BuildConfiguration;Clock;EngineFactory;NuGetReferences;Toolchain;IsMutator;InvocationCount;IterationCount;IterationTime;LaunchCount;MaxIterationCount;MaxWarmupIterationCount;MinIterationCount;MinWarmupIterationCount;RunStrategy;UnrollFactor;WarmupCount;Mean;Error;Min;Max;Median;Gen 0;Gen 1;Gen 2;Allocated
ManuelMappingDataCount10;Job-DCGRNS;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 3.1;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;1;Default;Default;Default;Default;Default;Default;ColdStart;1;Default;NA;NA;NA;NA;NA;-;-;-;-
ManuelMappingDataCount100;Job-DCGRNS;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 3.1;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;1;Default;Default;Default;Default;Default;Default;ColdStart;1;Default;NA;NA;NA;NA;NA;-;-;-;-
ManuelMappingDataCount1000;Job-DCGRNS;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 3.1;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;1;Default;Default;Default;Default;Default;Default;ColdStart;1;Default;NA;NA;NA;NA;NA;-;-;-;-
ManuelMappingDataCount10000;Job-DCGRNS;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 3.1;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;1;Default;Default;Default;Default;Default;Default;ColdStart;1;Default;NA;NA;NA;NA;NA;-;-;-;-
ManuelLinqMappingDataCount10;Job-DCGRNS;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 3.1;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;1;Default;Default;Default;Default;Default;Default;ColdStart;1;Default;NA;NA;NA;NA;NA;-;-;-;-
ManuelLinqMappingDataCount100;Job-DCGRNS;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 3.1;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;1;Default;Default;Default;Default;Default;Default;ColdStart;1;Default;NA;NA;NA;NA;NA;-;-;-;-
ManuelLinqMappingDataCount1000;Job-DCGRNS;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 3.1;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;1;Default;Default;Default;Default;Default;Default;ColdStart;1;Default;NA;NA;NA;NA;NA;-;-;-;-
ManuelLinqMappingDataCount10000;Job-DCGRNS;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 3.1;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;1;Default;Default;Default;Default;Default;Default;ColdStart;1;Default;NA;NA;NA;NA;NA;-;-;-;-
AgileMapperLibraryDataCount10;Job-DCGRNS;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 3.1;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;1;Default;Default;Default;Default;Default;Default;ColdStart;1;Default;57.56 ms;NA;57.56 ms;57.56 ms;57.56 ms;0.0000;0.0000;0.0000;64 B
AgileMapperLibraryDataCount100;Job-DCGRNS;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 3.1;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;1;Default;Default;Default;Default;Default;Default;ColdStart;1;Default;53.01 ms;NA;53.01 ms;53.01 ms;53.01 ms;0.0000;0.0000;0.0000;64 B
